EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,,,APC,PDP,ADC,LP,ACCORD,SDP,Total PU,PU Entered
Result by Polling Units,,,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD,WARD CODE,POLLING UNITS,PU CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,NEAR SLAUGHTER SLAB / SLAUGHTER SLAB,002,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,IN FRONT OF ELEJOKA'S PALACE / IJOKA AREA,003,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,NEAR ODU'S COMP. HOUSE / ODU'S COMP. HOUSE I,004,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,NEAR ODU'S COMP. HOUSE / ODU'S COMP. HOUSE II,005,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,"FAJUYI GREAT HALL / IGBAMOTE, AAFIN AREA",006,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,EREKESAN SHOPPING COMP. / EREKESAN MARKET,007,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,IN FRONT OF AAFIN / OLD TOWN HALL AREA,008,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,NEAR NEW MOTOR PARK AREA,009,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,MARY IMMACULATE AREA / OREREOWU ST. AREA,010,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,IN FRONT OF ADESINA'S COMP. / AGBOWU,011,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,IN FRONT OF CHIEF ARIBI'S HOUSE / AGUMO AREA I,012,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,IN FRONT OF FALEYE'S HOUSE / AGUMO AREA II,013,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,IN FRONT OF EKI CINEMA / EKI CINEMA,014,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,IN FRONT OF RAWA COMP. / OLOGUNSIKIN,015,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,BESIDE TOKUNBO CLINIC / APEMPE,016,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,OPEN SPACE AT ARANISIN AREA ODO OUT,017,,,,,,,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,OPEN SPACE AT IMMACULATE FIRST GATE,018,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,IN FRONT OF OWOLABI'S COMP. / OLUGBAYE'S COMP.,001,,,,,,,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,"BY LEFT SIDE OF MACHANICAL WORKSHOP, IGBALETERE/ADEJUGBE'S COMP.",002,,,,,,,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,IN FRONT OF PA ADESINA 'S COMP. / ADESINA'S COMP.,003,,,,,,,,,,,,,,,
