EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,,,APC,PDP,ADC,LP,ACCORD,SDP,Total PU,PU Entered
Result by Polling Units,,,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD,WARD CODE,POLLING UNITS,PU CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,OPEN SPACE AT ELEYOWO MARKET OPPOSITE ADEYINKA HOUSE,022,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,"IN FRONT OF PA JEGEDE 'S HOUSE / JEGEDE, ADEHUN",001,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,IN FRONT OF OMOLAYO'S HOUSE / OMOLAYO,002,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,IN FRONT OF ADEBAYO'S ESTATE / ADEBAYO ESTATE,003,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,"BETWEEN EYEJARI, MELODY'S HOUSE / PRINCE MELODY ST.",004,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,IN FRONT OF ALAWOROKO'S HOUSE / OLOJAESE COMP - BELLO,005,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,IN FRONT OF AJITADIDUN PRY. SCH. / CHIEF OLORA'S COMP. I,006,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,AT THE BACK OF AJITADIDUN PRY. SCH. / CHIEF OLORA'S COMP. II,007,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,IN FRONT OF STATE HOSPITAL / STATE HOSTIPAL,008,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,"IN FRONT OF DR. AKEJU'S HOUSE, BESIDE ALAGBONMEFA",009,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,EMMANUEL PRY. SCH. / COMM. CENTRE,010,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,"OPEN SPACE, PA OTOKUTE'S HOUSE / STADIUM AREA",011,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,"L.A. PRY. SCH., OLOBE / ADAMOLEKUN, OBAYEMI",012,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,IN FRONT OF ABE'S HOUSE / ODUNDUN,013,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,IN FRONT OF ELEYOWO'S MARKET / TEMIDIRE,014,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,IN FRONT OF LATE AKINBO'S HOUSE / OKE ESE,015,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,IN FRONT OF PA JONATHAN'S HOUSE / OGBON OYO,016,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,INFRONT OF BAISANYA'S HOUSE / BAISANYA ADEBOMI,017,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,IN FRONT OF ADEPARUSI' S HOUSE / ADEPARUSI COMP.,018,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,IN FRONT OF BABATUNDE'S HOUSE CHIRST SCH.,019,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,SURAJUDEEN SCH. / SURAJUDEEN SCHOOL I,020,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPOPOGBORO COMP. / SURAJUDEEN SCH. II,021,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,UNIVERSITY COMP. / UNIVERSITY,022,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT ILOKUN TENT / IGBIRA ELEMI,023,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT E.T.F HALL UNIVERSITY COMP.,024,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT OPPOSITE EKSU GATE,025,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,AYO FASANMI MODEL COLLEGE ILOKUN AREA,026,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SAPCE AT IREWUMI QUARTERS ZONE 4 JUNCTION,027,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT OPP. DE-LINK MOTEL ADEHUN AREA,028,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,"OPEN SPACE AT BEAUTIFUL BRIGHT BAKERY, IFELERE AREA",029,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE BESIDES AB EVENT OPOPOGBOORO AREA,030,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE EREMIDE MARKET OPOPOGBOORO AREA,031,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,"OPEN SPACE BESIDES TRANFORMER, OLORUNSOGO COMMUNITY",032,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT WOLE ADEWUMI JUNCTION NOVA ROAD,033,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT NOVA ROAD I SURULEERE JUNCTION ABA IGBIRA,034,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT AJIBOLA COMPLEX NOVA ROAD,035,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE BESIDE MINISTRY OF EDUCATION CHRIST SCHOOL,036,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE BEHIND ADEKUNLE FAJUYIS HOUSE OGBON OYO,037,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE BESIDE ADEBIYI AREA OWODUNNI STREET ORI APATA,038,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE OPPOSITE MTN MAST. SOLA BREAD DALLIMORE AREA,039,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE INFRONT OF BRICKLAYERS HALL KAJOLA AREA,040,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE BEHIND OMO-OLUWA/ FGN- MDGS 2007 WATER PROJECT KAJOLA AREA,041,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE BESIDE SMATHEX PHARM./ OPP EKSUTH,042,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT EKITI STATE HOSPITAL MANAGEMENT BOARD DR.S QUARTERS AREA,043,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE OPPOSITE UNION DIAGNOSTIC CENTRE SIMILOLUWA AREA,044,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT ODURO JUNCTION OPPOSITE EKSUTH MAIN GATE,045,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT OLORA HOUSING RD. BACK OF NEW DANKE EATERY,046,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT AKINLABI OLA AVENUE JUNCTION / OLORA HOUSING ESTATE,047,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE OPP. BLUE CREST INTERNATIONAL SCHOOL ALONG OLORA ROAD,048,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE BESIDE FRIENDLY HOTEL ADEBAYO ROAD,049,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OKE ESE HUMMY PAUL VENTURES OKE-ESE,050,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT BADE GBOYEGA JUNCTION JIMOH ALIU,051,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT ARAROMI NUR/PRY JIMOH ALIU AREA,052,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT ORIAPATA OPP. STATE HOSPITAL,053,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,"OPEN SPACE BEHIND JOE JANE MEDICAL CENTRE, DALLIMORE",054,,,,,,,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,OPEN SPACE AT THE BACK OF OLUYEMIS KAYODE STADIUM,055,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPPOSITE HIGH COURT / G. R. A. , POLICE I",001,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"SET MANGO AREA / G. R. A. , POLICE II",002,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,AT THE BACK OF CHRIST THE KING HIGH SCH. (C.K.C.) YINKA AGBEBI'S COMP.,003,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,AT OLOROKORI'S COMP. /OLOROKORI,004,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,AT OLOKUNDULU'S COMP. / OLOKUN,005,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"IN FRONT OF OSALUYI'S HOUSE / OKE AGBE AREA, ADEMISOLA",006,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"IN FRONT OF FAJUYI'S HOUSE / FAJUYI, OKESA",007,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,IN FRONT OF ELEMUDU'S COMP. / ELEMUDU'S COMP.,008,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"IN FRONT OF ADEGOKE'S HOUSE / ADEGOKE, OJUMOSE",009,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,OPP. OKOLI SUPERMAKET / ARAROMI ST. OLOFIN,010,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,BEHIND ASA'S HOUSE / ASA COMP.,011,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,OPP. TEXITILE FACTORY / TEXTILE I,012,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,OPP. BISHOP'S HOUSE ROAD / TEXITILE II,013,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,METHODIST SCH / BASIRI I,014,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,IN FRONT OF DELE ILORI'S HOUSE/ BASIRI II,015,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,METHODIST SCH. / BASIRI III,016,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,BETTER LIFE AREA / BASIRI IV,017,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,IN FRONT OF ST. GEOGERY'S HOSPITAL (OKURUME) BASIRI V,018,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,OPEN SPACE BESIDE CAPTAIN COOK BY C.A.C OKE IBUKUN STREET.,019,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPEN SPACE AT SURULERE JUNCTION, ISINLA, OPPOSITE ST. JUDE CHURCH",020,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"PREMISES OF BASIRI COMMUNITY PRY. SCH, BASIRI",021,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPEN SPACE BESIDE LG MAIN SHOWROOM, BASIRI",022,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPEN SPACE AT BABA ATICO AREA, OPPOSITE NOVA JUNCTION, BASIRI",023,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPEN SPACE BESIDE THE BEST FURNITURE, SHARP CORNER, NOVA ROAD",024,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPEN SPACE OPPOSITE NOVA INTERNATIONA HIGH SCHOOL, NOVA ROAD",025,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPEN SPACE OPPOSITE ORI OKE APATA NATHAN, OFF NOVA ROAD",026,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPEN SPACE AT SURULERE JUNCTION AVENUE I, OFF FAGLO, BASIRI",027,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPEN SPACE AT NULGA COOP MULTIPURPOSE HALL, BASIRI",028,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPEN SPACE BESIDE IMAN MEDICAL SPECIALIST CLINIC, BETTERLIFE BASIRI",029,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPEN SPACE AT AWEDELE JUNCTION, AWEDELE",030,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,PREMISES OF ALL SOULS ANG. GRAMMAR SCH. NEW IYIN ROAD,031,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,OPEN SPACE AT MIKE OLAJIDE JUNCTION OFF ONIGARI,032,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPEN SPACE OPP. ANGLICAN CHURC, ILE AANU QTRS.",033,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,ONISINLA NUR & PRY SCH. ONIGARI,034,,,,,,,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,"OPEN SPACE OPPOSITE OJO AGBEDE COMPLEX, FAJUYI LANE",035,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"ANG. PRY. SCH., ATUNDAOLU, IRONA / AKERELE AJIMO COMP.",001,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"ST. THOMAS PRY. SCH., IRONA, AT AKOGUN COMP. / ST. THOMAS SCH.",002,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"ST. THOMAS PRY. SCH., IRONA, / ODOLORO, OLODE COMP.",003,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,AT BAPTIST SCH./ AKINYEDE'S COMP.,004,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,SAMO ONIKASANMI / SAMO ONIKASANMI,005,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"A.U.D. PRY. SCH., IRONA / AAPALOWO, PA FOLARIN",006,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,IN FRONT OF ONIKORO'S HOUSE / ONIKORO COMP.,007,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,IN FRONT OF MICHO TAILOR / OLORO COMP.,008,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"OPP. MICHO HOTEL , IRONA / ERUWON COMP.",009,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPP. COCOA STORE / AJIPONA AREA,010,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,IN FRONT OF KARIM'S HOUSE / SURULERE AREA,011,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,ADO COMMUNITY GRAMMAR SCH. / ADO COMMUNITY GRAMMAR SCH. AREA,012,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"OLA OLUWA GRAMMAR / OLA OLUWA, ADEWUNMI COMP.",013,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,C. A. C. GRAMM. SCH. / OLA OLUWA II,014,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,AT ALI'S COMP. / ALI'S COMP.,015,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,AT AKOGUN'S COMP. / OLODE COMP.,016,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"OPEN SPACE BESIDE DEXAMBDRA HOTEL, GRA 3RD EXTENTION",017,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE INFRONT OF FEDERAL POLYTECHINIC CONTINUOUS EDUCATION CENTRE,018,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"OPEN SPACE UNDER MANGO TREE, BY AYODELE FOLORUNSO, HOUSE, FIWASAYE",019,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,PREMISES OF OLA OLA OLUWA MUSLIM NUR. / PRY SCH. OLA OLUWA,020,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE INFRONT OF FOUNTAIN NUR/PRY SCH. OMISANJANA,021,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE AT COCOA WARE HOUSE BY LAGOS STREET,022,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE AT FATUKASI ADEREMI AREA IGBAYILOLA. ILE ABIYE,023,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"OPEN SPACE AT BABA ODE AREA, ASAKO JUNCTION",024,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"OPEN SPACE INFRONT OF OLA OLUWA GRAMMAR SCHOOL, NIYI ADEBAYO AREA,",025,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE AT FELECIA OSEPUTU AREA SURULERE,026,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"OPEN SPACE OPP 132KVA, ASEGUN JUNCTION, OMISANJANA",027,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"OPEN SPACE AT ISOKAN STREET, ZONE 2 & ZONE 3 JUNCTION / MTN MAST OMISANJANA",028,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE AT OLALEYE OJO AREA OMISANJANA,029,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE AT ADEYANJU SHITTU BESIDE TRANSFORMER OMISANJANA,030,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE AT ADELEYE KARIM AREA IRONA,031,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SAPCE OFF TASTY & SPICY IRONA,032,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE AT BALOGUN AREA IRONA,033,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE AT OLADIMEJI AREA IRONA,034,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,AT BAPTIST SCH. AKINYEDE COMP. II,035,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE AT TIAMIYU ELEREBI AREA,036,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE AT FAKOREDE AREA,037,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE AT ADEDAYO EGBEYEMI AREA,038,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,OPEN SPACE AT AJILA AREA. IRONA,039,,,,,,,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,"OPEN SPACE AT AMADU AREA, IRONA",040,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,AROUND SASERE 'S COMP. / SASERE'S COMP.,001,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,IN FRONT OF FAKOREDE'S HOUSE / FAKOREDE'S COMP.,002,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,PA FAMUYIBO'S HOUSE / FAMUYIBO,003,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,PA OLOGBOSERE'S HOUSE / OLOGBOSERE'S COMP.,004,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,AROUND ADU'S HOUSE / JIMBA OMOALUKO,005,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,"AROUND U.A.C. SHOP, ANISULOWO / AROWA COMP.",006,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,IN FRONT OF PA OGUNDIPE'S HOUSE / ADIGUN,007,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,AT OGBON OMO AREA I / OGBON OMO COMP.,008,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,IN FRONT OF AROWA'S HOUSE / EREKESAN POST OFFICE,009,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,AT ASASA COMP. / ASASA,010,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,OPEN SPACE AT OLORI AWO AREA AKODI SASERE,011,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,OPEN SPACE AT CHIEF SASERES HOUSE/SASERE COMPOUND,012,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,OPEN SPACE AT OLOGUNSINKIN AROWA COMPOUND,013,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,OPEN SPACE INFRONT OF CHIEF AROWA COMPOUND,014,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,"OPEN SPACE AT AKA OGBO OMO, IGBEHIN",015,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,"OPEN SPACE AT OKUNGBEA, IGBEHIN AREA",016,,,,,,,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,OPEN SPACE ALONG IGBEHIN STREET ULE CHIEF SASERE FAMUYIBO,017,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,AT CAMP (ILA NLA) / ITANLA,001,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,AT OKEREPA CAMP./ OKE EPA,002,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,AT OKE ASO COMP. / OKE ASO,003,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,AT AMUJAGBA / AMUJAGBA,004,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,OKE OSUN AREA / OKE OSUN,005,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,AT OLORA COMP. / OLORA COMP.,006,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,AT ADEMILUYI COMP. / ADEMILUYI'S COMP.,007,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,AT AJEBAMIDELE COMP. / AJEBAMIDELE,008,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,ADUGBOKUN COMP. / ADUGBOKUN,009,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,ODO PRY. SCH. / ODO VILLAGE,010,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,IN FRONT OF ABA ALAGA / IFESOWAPO,011,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,IN FRONT OF ADEPOJU'S HOUSE / IDEGBE,012,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,IGIMOKOGO PRY. SCH. / IGIMOKOGO,013,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,AT ATEGBADO VILLAGE / RESERVE VILLAGE,014,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,AT ITALAORO CAMP. / ITALAORO COMP.,015,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,IN FRONT OF SEDU'S HOUSE / ITA EKU,016,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,IN FRONT OF MOMODU'S COMP. / OMI OLOKO,017,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,AT UNITY SEC. SCH. / ERINFUN / UNITY SEC. SCH. IREJE,018,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,"PRY. SCH., AGO IGBIRA, ERINFUN / ERINFUN",019,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,"PRY. SCH., IGIRIGIRI / AYOKO, IGIRIGIRI",020,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,IN FRONT OF ADUBIARO COMP. / EMIRIN,021,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,"FEDERAL POLT. COMP. / FED. POLY, AGO OLOGUNJA",022,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,"PRY. SCH. AGO ADULOJU / AGO ADUGBOKUN , ADULOJU",023,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,"PRY. SCH. , IGBOGUN/ IGBOGUN VILLAGE",024,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,"PRY. SCH. AGO AYEGUNLE / AGO AYEGUNLE , AGO ARAROMI",025,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,IN FRONT OF OMOSIO'S COMP. / KAJOLA,026,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,"OPEN SPACE AT SHILO JUNCTION, AJEBAMIDELE",027,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,"OPEN SPACE AT PASTOR BELLOS AREA, /ESTATE JUNCTION RD 4, AJEBAMIDELE",028,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,OPEN SPACE AT GOLDEN AVENUE COMMUNITY/ PASTORAL CENTRE,029,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,"OPEN SPACE AT ALADESIUN AREA, ITA EKU",030,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,AT UNITY SECONDARY SCH. ERINFUN/UREJE II,031,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,"DTC DEMONSTRATION PRY. SCH, EMINRIN, UREJE",032,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,"OPEN SPACE AT BASIC HEATH CENTRE, ERINFUN",033,,,,,,,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,OPEN SPACE AT AGO-KONA/OPP ABUAD HOSPITAL,034,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
